type,value,urls,count
Duplicate Title,Kunst | GETYOUR.DESIGN,https://www.getyour.design/art|https://www.getyour.design/shop/kunst,2
Similar H1,Bronzeobjekt in kleiner Auflage <> Metallarbeit in kleiner Auflage,https://www.getyour.design/shop/editionen-03-bronzeobjekt-in-kleiner-auflage|https://www.getyour.design/shop/editionen-10-metallarbeit-in-kleiner-auflage,2
Similar H1,Keramikobjekt mit Grifföffnung <> Objekt mit Grifföffnung,https://www.getyour.design/shop/keramikobjekt-mit-griffoeffnung|https://www.getyour.design/shop/objekte-10-objekt-mit-griffoeffnung,2
Similar H1,Bronzeform für den Tisch <> Steinplatte für den Tisch,https://www.getyour.design/shop/objekte-03-bronzeform-fuer-den-tisch|https://www.getyour.design/shop/tabletop-10-steinplatte-fuer-den-tisch,2
